"age","job","marital","default","balance","housing","loan","duration","y"
59,"management","divorced","no",262,"no","no",178,"no"
57,"technician","married","no",0,"no","no",98,"no"
56,"technician","divorced","no",56,"yes","no",439,"no"
51,"blue-collar","married","no",26,"yes","no",79,"no"
34,"admin.","married","no",3,"yes","no",120,"no"
43,"services","married","no",41,"yes","yes",127,"no"
52,"technician","married","no",7,"no","yes",175,"no"
33,"technician","single","no",105,"yes","no",262,"no"
29,"admin.","single","no",818,"yes","yes",61,"no"
34,"services","married","no",-16,"yes","yes",78,"no"
31,"blue-collar","married","no",0,"yes","no",143,"no"
55,"services","married","no",2476,"yes","no",579,"yes"
55,"management","married","no",1185,"no","no",677,"no"
32,"admin.","single","no",217,"yes","no",345,"no"
38,"technician","single","no",1685,"yes","no",185,"no"
55,"admin.","single","no",802,"yes","yes",100,"no"
28,"unemployed","single","no",0,"yes","no",125,"no"
23,"blue-collar","married","no",94,"yes","no",193,"no"
32,"technician","single","no",0,"yes","no",136,"no"
43,"services","single","no",0,"no","no",73,"no"
32,"blue-collar","married","no",517,"yes","no",528,"no"
46,"blue-collar","married","no",265,"yes","no",541,"no"
53,"housemaid","divorced","no",947,"yes","no",163,"no"
34,"self-employed","single","no",3,"yes","no",301,"no"
57,"unemployed","married","no",42,"no","no",46,"no"
37,"blue-collar","married","no",37,"yes","no",204,"no"
59,"blue-collar","married","no",57,"yes","no",98,"no"
33,"services","married","no",22,"yes","no",71,"no"
56,"blue-collar","divorced","no",8,"yes","no",157,"no"
48,"unemployed","married","no",293,"yes","no",243,"no"
43,"services","married","no",3,"yes","no",186,"no"
54,"blue-collar","married","no",348,"yes","no",579,"no"
51,"blue-collar","married","no",-19,"yes","no",163,"no"
26,"student","single","no",0,"yes","no",610,"no"
40,"management","married","no",-4,"yes","no",2033,"no"
39,"management","married","no",18,"yes","no",85,"no"
50,"technician","married","no",139,"no","no",114,"no"
41,"services","married","no",0,"yes","no",114,"no"
51,"blue-collar","married","no",1883,"yes","no",57,"no"
60,"retired","divorced","no",216,"yes","no",238,"no"
52,"blue-collar","married","no",782,"yes","no",93,"no"
48,"blue-collar","married","no",904,"yes","no",128,"no"
48,"services","married","no",1705,"yes","no",107,"no"
39,"technician","single","no",47,"yes","no",181,"no"
47,"services","single","no",176,"yes","no",303,"no"
40,"blue-collar","married","no",1225,"yes","no",558,"no"
45,"technician","married","no",86,"yes","no",270,"no"
26,"admin.","single","no",82,"yes","no",228,"no"
52,"management","married","no",271,"yes","no",99,"no"
54,"technician","married","no",1378,"yes","no",240,"no"
54,"admin.","married","no",184,"no","no",673,"yes"
50,"blue-collar","married","no",0,"no","no",233,"no"
35,"blue-collar","married","no",0,"yes","no",1056,"no"
44,"services","married","no",1357,"yes","yes",250,"no"
53,"entrepreneur","married","no",19,"yes","no",252,"no"
35,"retired","single","no",434,"no","no",138,"no"
60,"admin.","divorced","no",92,"yes","no",130,"no"
53,"admin.","divorced","no",1151,"yes","no",412,"no"
48,"unemployed","married","no",41,"yes","no",179,"no"
34,"technician","married","no",51,"yes","no",19,"no"
54,"services","married","no",214,"yes","no",458,"no"
51,"management","married","no",1161,"yes","no",717,"no"
31,"services","married","no",37,"yes","no",313,"no"
35,"technician","divorced","no",787,"yes","no",683,"no"
35,"services","married","no",59,"yes","no",1077,"no"
38,"technician","married","no",253,"yes","no",416,"no"
36,"admin.","married","no",211,"yes","no",146,"no"
58,"retired","married","no",235,"yes","no",167,"no"
40,"services","divorced","no",4384,"yes","no",315,"no"
54,"management","married","no",4080,"no","no",140,"no"
34,"blue-collar","single","no",53,"yes","yes",346,"no"
31,"management","single","no",0,"yes","no",562,"no"
51,"retired","married","no",2127,"yes","no",172,"no"
33,"management","married","no",377,"yes","no",217,"no"
55,"management","married","no",73,"yes","no",142,"no"
42,"admin.","married","no",445,"yes","no",67,"no"
34,"blue-collar","married","no",243,"yes","no",291,"no"
33,"blue-collar","single","no",307,"yes","no",309,"no"
38,"services","married","no",155,"yes","no",248,"no"
50,"technician","divorced","no",173,"no","yes",98,"no"
43,"management","married","no",400,"yes","no",256,"no"
61,"blue-collar","divorced","no",1428,"yes","no",82,"no"
47,"admin.","married","no",219,"yes","no",577,"no"
48,"self-employed","married","no",7,"yes","no",286,"no"
44,"blue-collar","married","no",575,"yes","no",477,"no"
35,"student","single","no",298,"yes","no",611,"no"
35,"services","married","no",0,"yes","no",471,"no"
50,"services","married","no",5699,"yes","no",381,"no"
41,"management","married","no",176,"yes","yes",42,"no"
41,"management","married","no",517,"yes","no",251,"no"
39,"services","single","no",257,"yes","no",408,"no"
42,"retired","married","no",56,"yes","no",215,"no"
38,"blue-collar","married","no",-390,"yes","no",287,"no"
53,"retired","married","no",330,"yes","no",216,"no"
59,"housemaid","divorced","no",195,"no","no",366,"no"
36,"services","married","no",301,"yes","no",210,"no"
54,"blue-collar","married","no",-41,"yes","no",288,"no"
40,"technician","married","no",483,"yes","no",168,"no"
53,"unemployed","married","no",13,"no","no",410,"no"
46,"housemaid","married","no",965,"no","no",177,"no"
39,"management","married","no",378,"yes","yes",127,"no"
40,"unemployed","married","no",219,"yes","no",357,"no"
28,"blue-collar","married","no",324,"yes","no",175,"no"
35,"entrepreneur","divorced","no",-69,"yes","no",300,"no"
55,"retired","married","no",0,"no","yes",136,"no"
43,"technician","divorced","no",205,"yes","no",1419,"no"
48,"blue-collar","married","no",278,"yes","no",125,"no"
58,"management","married","no",1065,"yes","no",213,"no"
33,"management","single","no",34,"yes","no",27,"no"
36,"blue-collar","married","no",1033,"no","no",238,"no"
53,"services","divorced","no",1467,"yes","no",124,"no"
47,"blue-collar","married","no",-12,"yes","no",18,"no"
31,"services","married","no",388,"yes","no",730,"no"
57,"entrepreneur","married","no",294,"yes","no",746,"no"
53,"blue-collar","married","no",1827,"no","no",121,"no"
55,"blue-collar","married","no",627,"yes","no",247,"no"
45,"blue-collar","married","no",25,"yes","no",40,"no"
53,"admin.","divorced","no",315,"yes","no",181,"no"
37,"blue-collar","married","no",0,"yes","no",79,"no"
44,"admin.","divorced","no",66,"yes","no",206,"no"
49,"blue-collar","divorced","no",-9,"yes","yes",389,"no"
46,"technician","married","no",349,"yes","yes",127,"no"
43,"entrepreneur","married","no",100,"yes","no",702,"no"
38,"admin.","married","no",0,"no","no",151,"no"
43,"technician","married","no",434,"yes","no",117,"no"
49,"management","married","no",3237,"yes","no",232,"no"
42,"management","married","no",275,"no","no",408,"no"
22,"blue-collar","single","no",0,"yes","no",179,"no"
40,"management","married","no",207,"yes","no",39,"no"
39,"blue-collar","married","no",483,"yes","no",282,"no"
51,"services","married","no",2248,"yes","no",714,"no"
49,"admin.","married","no",428,"yes","no",50,"no"
53,"blue-collar","married","no",0,"yes","yes",181,"no"
34,"services","single","no",0,"yes","no",142,"no"
33,"technician","divorced","no",140,"yes","no",227,"no"
50,"management","single","no",297,"yes","no",119,"no"
39,"blue-collar","married","no",279,"yes","no",361,"no"
59,"entrepreneur","divorced","no",901,"yes","no",73,"no"
30,"technician","single","no",2573,"yes","no",67,"no"
36,"services","married","no",143,"yes","yes",350,"no"
40,"blue-collar","married","no",475,"yes","no",332,"no"
53,"blue-collar","married","no",70,"yes","no",611,"no"
34,"management","single","no",318,"yes","no",113,"no"
37,"technician","married","no",275,"yes","no",132,"no"
42,"management","divorced","no",742,"yes","no",58,"no"
41,"entrepreneur","married","no",236,"yes","no",151,"no"
30,"student","single","no",25,"yes","no",89,"no"
37,"management","single","no",600,"yes","no",152,"no"
39,"admin.","divorced","no",-349,"yes","no",611,"no"
41,"blue-collar","married","no",183,"yes","yes",110,"no"
40,"blue-collar","married","no",0,"yes","no",463,"no"
42,"management","single","no",0,"yes","yes",562,"yes"
40,"blue-collar","divorced","no",0,"yes","no",962,"no"
57,"technician","married","no",1078,"yes","no",10,"no"
56,"entrepreneur","divorced","no",155,"no","no",118,"no"
37,"admin.","married","no",190,"yes","no",92,"no"
59,"retired","married","no",319,"yes","no",143,"no"
39,"services","divorced","no",-185,"yes","no",189,"no"
49,"services","married","no",47,"no","no",234,"no"
38,"services","single","no",570,"yes","no",75,"no"
36,"self-employed","married","no",19,"no","no",189,"no"
50,"blue-collar","married","no",61,"yes","no",621,"no"
41,"admin.","married","no",-62,"yes","yes",55,"no"
54,"technician","married","no",258,"no","no",310,"no"
58,"blue-collar","married","no",76,"yes","no",156,"no"
30,"blue-collar","single","no",0,"yes","no",5,"no"
33,"admin.","single","no",352,"yes","no",225,"no"
47,"admin.","married","no",368,"yes","no",125,"no"
50,"technician","single","no",339,"yes","no",2,"no"
32,"blue-collar","married","no",1331,"yes","no",286,"no"
40,"self-employed","married","no",672,"yes","no",164,"no"
37,"management","married","no",58,"yes","no",98,"no"
54,"technician","single","no",447,"yes","no",742,"no"
24,"student","single","no",423,"yes","no",226,"no"
54,"management","married","no",0,"no","no",120,"no"
34,"technician","married","no",19,"yes","no",362,"no"
56,"technician","divorced","no",13,"yes","no",357,"no"
31,"blue-collar","single","no",3,"yes","no",200,"no"
24,"student","single","no",82,"yes","no",204,"no"
42,"blue-collar","divorced","no",28,"yes","no",126,"no"
57,"technician","married","no",792,"yes","no",65,"no"
42,"blue-collar","married","no",408,"yes","no",107,"no"
51,"admin.","married","no",531,"yes","no",267,"no"
57,"retired","married","no",211,"yes","no",248,"no"
36,"services","single","no",62,"yes","no",215,"no"
53,"services","married","no",257,"yes","no",209,"no"
50,"technician","married","no",1234,"yes","no",205,"no"
54,"management","married","no",313,"yes","no",83,"no"
55,"blue-collar","married","no",89,"yes","no",106,"no"
44,"blue-collar","married","no",129,"yes","yes",189,"no"
43,"management","married","no",0,"yes","no",105,"no"
56,"admin.","married","no",353,"yes","no",106,"no"
54,"technician","married","no",851,"yes","no",108,"no"
55,"services","divorced","no",96,"yes","yes",311,"no"
37,"services","divorced","no",398,"yes","yes",214,"no"
33,"admin.","single","no",193,"no","no",132,"no"
46,"admin.","married","no",-358,"yes","no",358,"no"
36,"blue-collar","married","no",539,"yes","yes",453,"no"
51,"technician","single","no",0,"yes","no",364,"no"
40,"retired","single","no",0,"no","no",136,"no"
42,"blue-collar","married","no",490,"yes","no",386,"no"
51,"blue-collar","married","no",0,"yes","no",173,"no"
49,"blue-collar","married","no",403,"yes","no",241,"no"
48,"management","married","no",161,"yes","no",224,"no"
32,"technician","divorced","no",2558,"no","no",148,"no"
31,"admin.","single","no",98,"yes","no",196,"no"
55,"management","single","no",115,"no","no",111,"no"
40,"blue-collar","single","no",436,"yes","no",231,"no"
47,"technician","married","no",831,"yes","no",316,"no"
57,"technician","married","no",206,"yes","no",216,"no"
41,"blue-collar","married","no",290,"yes","no",240,"no"
48,"blue-collar","married","no",1,"no","no",669,"no"
42,"blue-collar","married","no",57,"yes","no",425,"no"
30,"blue-collar","single","no",-457,"yes","no",143,"no"
58,"management","single","no",1387,"yes","no",174,"no"
45,"management","divorced","no",24598,"yes","no",313,"no"
49,"blue-collar","married","no",30,"yes","no",135,"no"
42,"admin.","single","no",1022,"yes","no",146,"no"
53,"technician","married","no",56,"yes","yes",152,"no"
51,"admin.","single","yes",-2,"no","no",402,"no"
32,"services","single","no",121,"yes","no",213,"no"
41,"blue-collar","single","no",842,"yes","no",144,"no"
43,"management","divorced","no",693,"yes","no",124,"no"
40,"blue-collar","divorced","no",-333,"yes","no",183,"no"
50,"blue-collar","married","no",1533,"yes","no",325,"no"
34,"management","married","no",46,"yes","no",39,"no"
53,"services","married","no",18,"no","no",503,"no"
45,"technician","married","no",44,"yes","no",95,"no"
39,"blue-collar","married","no",-100,"yes","no",680,"no"
44,"services","married","no",510,"yes","no",421,"no"
55,"management","married","no",685,"yes","no",174,"no"
46,"management","single","no",187,"yes","no",113,"no"
45,"blue-collar","married","no",66,"yes","no",808,"no"
34,"admin.","married","no",560,"yes","no",198,"no"
36,"blue-collar","married","no",0,"yes","no",195,"no"
31,"admin.","single","no",12,"yes","no",208,"no"
44,"blue-collar","single","no",34,"yes","no",404,"no"
33,"entrepreneur","single","no",1068,"yes","no",396,"no"
40,"blue-collar","married","no",211,"yes","no",216,"no"
46,"admin.","single","no",377,"yes","no",98,"no"
48,"management","married","no",263,"yes","no",350,"no"
42,"services","married","no",1263,"yes","no",114,"no"
27,"services","married","no",8,"yes","no",88,"no"
48,"admin.","married","no",126,"yes","yes",379,"no"
59,"admin.","married","no",230,"yes","no",190,"no"
46,"technician","married","no",841,"yes","no",158,"no"
38,"admin.","divorced","no",308,"yes","no",102,"no"
43,"management","divorced","no",1,"yes","no",306,"no"
38,"admin.","divorced","no",86,"yes","no",218,"no"
23,"student","single","no",157,"yes","no",54,"no"
34,"services","married","no",22,"yes","no",344,"no"
38,"admin.","married","no",46,"yes","yes",195,"no"
37,"blue-collar","married","no",1293,"no","no",652,"no"
25,"admin.","single","no",122,"yes","no",286,"no"
48,"blue-collar","married","no",131,"yes","no",189,"no"
49,"blue-collar","single","no",143,"yes","no",83,"no"
38,"admin.","single","no",393,"no","no",184,"no"
43,"blue-collar","married","no",98,"yes","no",235,"no"
33,"management","married","no",0,"yes","no",290,"no"
55,"blue-collar","married","no",224,"yes","no",232,"no"
38,"blue-collar","married","no",757,"yes","no",133,"no"
49,"services","married","no",245,"yes","yes",318,"no"
40,"management","married","no",8486,"no","no",260,"no"
43,"admin.","married","no",350,"no","no",437,"no"
38,"blue-collar","married","no",20,"yes","no",402,"no"
58,"services","married","no",1667,"yes","yes",85,"no"
57,"technician","married","no",345,"yes","no",125,"no"
32,"unemployed","married","no",10,"yes","no",501,"no"
56,"management","married","no",830,"yes","yes",1201,"yes"
58,"blue-collar","divorced","no",29,"yes","no",253,"no"
60,"retired","divorced","no",545,"yes","no",1030,"yes"
37,"technician","married","no",8730,"yes","no",149,"no"
46,"technician","divorced","no",477,"yes","no",114,"no"
27,"admin.","married","no",4,"yes","no",243,"no"
43,"blue-collar","married","no",1205,"yes","no",769,"no"
32,"technician","single","no",0,"yes","yes",135,"no"
40,"admin.","single","no",263,"yes","no",231,"no"
38,"admin.","married","no",1,"no","no",76,"no"
34,"blue-collar","married","no",283,"no","yes",199,"no"
47,"blue-collar","married","no",206,"yes","no",152,"no"
42,"housemaid","married","no",17,"yes","no",124,"no"
48,"technician","married","no",141,"yes","yes",424,"no"
29,"self-employed","single","no",16,"yes","no",43,"no"
50,"services","married","no",206,"yes","no",154,"no"
52,"technician","married","no",7,"no","no",203,"no"
50,"management","married","no",0,"no","no",326,"no"
58,"retired","married","no",0,"no","no",393,"no"
46,"blue-collar","divorced","no",1927,"yes","no",241,"no"
38,"technician","married","no",284,"yes","no",483,"no"
46,"blue-collar","married","no",1660,"yes","no",259,"no"
32,"services","single","no",406,"yes","no",227,"no"
51,"blue-collar","married","no",230,"yes","no",673,"no"
39,"admin.","single","no",-25,"yes","no",576,"no"
48,"admin.","married","no",182,"yes","no",180,"no"
36,"entrepreneur","married","no",1169,"yes","no",168,"no"
34,"admin.","divorced","no",67,"yes","no",90,"no"
40,"technician","married","no",77,"no","no",505,"no"
43,"unemployed","married","no",0,"yes","no",245,"no"
52,"blue-collar","divorced","no",55,"yes","yes",186,"no"
33,"technician","married","yes",72,"yes","no",623,"no"
49,"management","single","no",163,"yes","no",496,"no"
32,"management","single","no",151,"yes","no",118,"no"
39,"admin.","single","no",113,"yes","no",342,"no"
40,"blue-collar","married","no",0,"yes","no",225,"no"
38,"technician","single","no",9,"yes","no",185,"no"
43,"management","married","no",375,"yes","no",196,"no"
39,"services","married","no",1142,"yes","no",276,"no"
54,"blue-collar","married","no",2102,"yes","no",76,"no"
38,"technician","single","no",4325,"yes","no",87,"no"
40,"blue-collar","married","no",217,"yes","no",195,"no"
55,"admin.","married","no",131,"yes","no",744,"no"
42,"management","married","no",1680,"yes","no",765,"no"
39,"blue-collar","married","no",0,"yes","no",262,"no"
40,"blue-collar","married","no",46,"yes","no",119,"no"
32,"blue-collar","married","no",320,"yes","no",198,"no"
55,"admin.","married","no",183,"yes","no",150,"no"
45,"blue-collar","married","no",39,"no","no",241,"no"
35,"management","single","no",560,"yes","no",181,"no"
58,"technician","divorced","no",469,"no","no",196,"no"
35,"admin.","married","no",530,"yes","no",149,"no"
49,"services","married","no",61,"yes","no",246,"no"
34,"technician","single","no",242,"yes","no",112,"no"
36,"blue-collar","married","no",139,"yes","no",309,"no"
24,"self-employed","single","no",0,"yes","no",278,"no"
34,"technician","married","no",367,"yes","no",140,"no"
51,"admin.","divorced","no",228,"yes","no",136,"no"
39,"technician","single","no",45248,"yes","no",1623,"yes"
50,"self-employed","married","no",-84,"yes","no",101,"no"
32,"services","single","no",310,"yes","no",144,"no"
42,"blue-collar","married","no",132,"yes","no",238,"no"
50,"technician","married","no",797,"yes","no",354,"no"
40,"services","married","no",71,"no","no",79,"no"
46,"management","divorced","no",2,"yes","no",187,"no"
37,"management","married","no",231,"yes","yes",451,"no"
34,"blue-collar","married","no",270,"yes","yes",159,"no"
44,"blue-collar","married","no",274,"yes","yes",409,"no"
40,"admin.","single","no",-109,"yes","yes",170,"no"
37,"technician","married","no",1,"yes","no",608,"yes"
33,"blue-collar","single","yes",-60,"no","no",243,"no"
35,"blue-collar","married","no",89,"yes","no",145,"no"
58,"blue-collar","divorced","no",-11,"no","no",112,"no"
39,"blue-collar","married","no",0,"yes","no",262,"no"
43,"blue-collar","married","no",-509,"yes","no",124,"no"
39,"unemployed","married","no",408,"yes","no",53,"no"
36,"services","single","no",58,"yes","no",134,"no"
57,"retired","single","no",1640,"no","yes",204,"no"
36,"admin.","single","no",20,"yes","no",186,"no"
50,"blue-collar","married","no",71,"yes","no",678,"no"
55,"blue-collar","married","no",52,"yes","no",182,"no"
44,"self-employed","married","no",292,"yes","no",162,"no"
44,"services","divorced","no",424,"yes","no",27,"no"
39,"housemaid","single","no",109,"yes","no",699,"no"
46,"blue-collar","married","no",1044,"yes","no",43,"no"
39,"blue-collar","married","no",983,"yes","no",97,"no"
34,"admin.","married","no",869,"no","no",1677,"yes"
40,"blue-collar","married","no",668,"yes","no",283,"no"
50,"management","married","no",964,"yes","no",323,"no"
31,"management","single","no",301,"yes","no",82,"no"
37,"admin.","single","no",140,"yes","no",310,"no"
39,"management","single","no",1877,"yes","no",185,"no"
51,"blue-collar","married","no",1127,"yes","no",47,"no"
41,"technician","married","no",871,"yes","no",145,"no"
41,"technician","married","no",767,"yes","yes",204,"no"
43,"blue-collar","married","no",0,"no","no",187,"no"
30,"services","single","no",209,"yes","no",30,"no"
54,"management","divorced","no",0,"no","no",472,"no"
43,"blue-collar","divorced","no",110,"yes","yes",448,"no"
59,"management","divorced","no",-76,"yes","yes",264,"no"
47,"technician","married","no",178,"yes","no",169,"no"
40,"blue-collar","married","no",-66,"yes","no",288,"no"
32,"technician","married","no",0,"yes","no",176,"no"
29,"blue-collar","married","no",1,"yes","no",215,"no"
36,"blue-collar","married","no",0,"yes","no",337,"no"
55,"unemployed","married","no",5345,"no","no",278,"no"
30,"blue-collar","divorced","no",-209,"yes","no",188,"no"
39,"admin.","single","no",0,"yes","no",174,"no"
39,"blue-collar","divorced","no",42,"yes","no",226,"no"
50,"blue-collar","divorced","no",41,"yes","no",190,"no"
44,"blue-collar","married","no",-99,"yes","no",111,"no"
37,"technician","single","no",17,"yes","no",164,"no"
46,"admin.","married","no",276,"yes","yes",157,"no"
32,"technician","single","no",-170,"no","no",46,"no"
37,"management","single","no",230,"yes","yes",374,"no"
29,"blue-collar","married","no",9,"yes","no",349,"no"
41,"blue-collar","married","no",946,"yes","no",325,"no"
45,"blue-collar","married","no",1297,"yes","no",233,"no"
57,"retired","divorced","no",-331,"yes","no",531,"no"
48,"blue-collar","single","no",44,"yes","no",153,"no"
60,"retired","married","yes",15,"no","no",80,"no"
26,"admin.","single","no",712,"yes","no",232,"no"
58,"retired","married","no",5435,"yes","no",118,"no"
34,"admin.","married","no",507,"yes","no",190,"no"
55,"unemployed","divorced","no",387,"yes","no",918,"yes"
41,"blue-collar","married","no",0,"yes","yes",238,"no"
50,"management","divorced","no",1716,"yes","no",82,"no"
49,"entrepreneur","married","no",167,"yes","yes",198,"no"
44,"admin.","married","no",40,"no","yes",160,"no"
44,"blue-collar","married","no",148,"yes","no",211,"no"
31,"technician","married","no",17,"yes","yes",120,"no"
34,"blue-collar","single","no",1011,"yes","no",136,"no"
46,"management","single","no",1527,"yes","no",269,"no"
42,"management","married","no",744,"no","no",157,"no"
52,"admin.","married","no",484,"yes","no",128,"no"
29,"management","single","no",0,"yes","no",211,"no"
53,"retired","married","no",136,"yes","no",267,"no"
43,"blue-collar","married","no",1335,"yes","no",371,"no"
38,"management","married","no",517,"yes","no",288,"no"
46,"management","married","no",459,"yes","no",221,"no"
48,"management","divorced","no",549,"yes","no",427,"no"
30,"admin.","divorced","no",83,"yes","yes",310,"no"
44,"blue-collar","married","no",213,"no","no",158,"no"
31,"housemaid","married","no",203,"yes","no",604,"no"
42,"services","single","no",518,"yes","no",198,"no"
40,"management","single","no",3877,"yes","no",145,"no"
52,"admin.","married","no",1236,"yes","no",247,"no"
45,"blue-collar","divorced","no",756,"yes","no",179,"no"
48,"blue-collar","married","no",157,"yes","no",73,"no"
45,"blue-collar","married","no",-66,"yes","no",263,"no"
34,"blue-collar","married","no",245,"yes","no",13,"no"
34,"blue-collar","married","no",-144,"yes","no",79,"no"
46,"blue-collar","married","no",71,"yes","no",416,"no"
49,"services","divorced","no",505,"yes","no",162,"no"
50,"technician","married","no",249,"yes","no",129,"no"
34,"admin.","single","no",0,"yes","no",150,"no"
40,"unemployed","single","no",11,"yes","no",43,"no"
36,"admin.","married","no",639,"yes","no",191,"no"
59,"blue-collar","divorced","no",124,"yes","no",26,"no"
45,"blue-collar","married","no",82,"yes","no",250,"no"
36,"self-employed","married","no",107,"yes","no",146,"no"
56,"services","married","no",473,"yes","no",416,"no"
